;;;;;;Min;;;;;;;
5 322;10636,16;9939,69;8802,84;8094,99;;;;;;;;;
6 163;9597,54;8712,78;8238,26;7300,18;;;;;;;;;
6 336;8157;7476,82;7221,2;6508,92;;;;;;;;;
7 230;6522,61;6468,77;6273,86;5251,74;;;;;;;;;
7 269;6080,05;6042,03;5336,55;4916,65;;;;;;;;;
7 382;6018,97;5864,73;5067,58;4979,92;;;;;;;;;
7 412;6080,76;5770,11;4943,81;5097,57;;;;;;;;;
7 540;6411,56;5840,72;4903,87;5485,46;;;;;;;;;
7 585;7117,87;6044,06;5116,24;6205,41;;;;;;;;;
7 880;9394,34;6909,72;5439,89;7210,4;;;;;;;;;
8 194;10907,41;8051,38;6025,19;9709,65;;;;;;;;;
8 297;11256,93;9180,61;6653,88;10997,81;;;;;;;;;
8 075;11451,79;10339,55;7291,37;10670,2;;;;;;;;;
7 978;11751,82;11087,6;7891,27;10429,09;;;;;;;;;
7 680;11745,3;11370,06;8665,63;11262,12;;;;;;;;;
7 012;11714,05;11507,38;9260,19;11149,06;;;;;;;;;
6 218;11555,35;11575,37;8849,11;10927,53;;;;;;;;;
5 478;11578,08;11462,11;8287,78;10798,54;;;;;;;;;
4 697;11747,26;11558,36;8481,61;11780,17;;;;;;;;;
4 399;12183,85;11962,96;9425,65;12201,98;;;;;;;;;
4 359;12295,91;12054,53;10369,57;12279,27;;;;;;;;;
4 304;11718,43;12170,2;10146,98;12181,1;;;;;;;;;
4 333;11521,97;12113,99;9545,41;12021,12;;;;;;;;;
4 905;11127,63;11883,47;9077,5;12053,77;;;;;;;;;
6 373;10893,77;11610,78;8377,33;12086,01;;;;;;;;;
8 829;10046,76;10673,04;7645,01;11109,63;;;;;;;;;
9 227;8873,5;9500,22;6553,11;9331,73;;;;;;;;;
9 153;6955,95;7206,6;5573,05;7252,04;;;;;;;;;
9 079;6363,68;6369,74;5110,96;6846,19;;;;;;;;;
8 838;6163,35;6060,21;4939,4;6785,92;;;;;;;;;
8 758;6181,76;5948,33;4885,05;6617,4;;;;;;;;;
8 592;6318,84;5904,51;5109,6;6905,45;;;;;;;;;
8 593;6976,17;6025,16;5452,65;7217,57;;;;;;;;;
8 882;8725,47;6577,76;6587,97;8107,88;;;;;;;;;
9 133;10606,55;6934,25;7834,41;10062,77;;;;;;;;;
9 119;11458,77;7842,88;8728,35;10626,19;;;;;;;;;
8 965;11462,66;8582,69;8987,14;10403,38;;;;;;;;;
8 763;11428,46;9298,7;8850,39;10346,24;;;;;;;;;
8 057;11401,08;10113,67;8855,24;10137,75;;;;;;;;;
7 372;11404,53;10157,61;9242,17;9930,19;;;;;;;;;
6 306;11409,51;9896,42;9340,46;9634,86;;;;;;;;;
5 419;11282,72;9634,57;9402,52;9805,98;;;;;;;;;
4 773;11329,27;10042,1;9625,23;10655,99;;;;;;;;;
4 415;11816,02;10958,09;9882,99;10844,82;;;;;;;;;
4 236;12003,35;11553,18;9907,89;10839,38;;;;;;;;;
4 128;11678,86;11933,06;9812,18;10288,85;;;;;;;;;
4 218;11150,67;11767,01;9625,56;9661,03;;;;;;;;;
4 365;10493,44;11447,35;8751,82;8899,99;;;;;;;;;
4 588;10064,55;11212,87;8269,33;7845,85;;;;;;;;;
