NAME_1;
Östergötland;-20
Blekinge;-17
Dalarna;-26
Gävleborg;-26
Gotland;-20
Halland;-18
Jämtland;-28
Jönköping;-18
Kalmar;-18
Kronoberg;-18
"Norrbotten ""south""";-32
"Norrbotten ""north""";-36
Orebro;-22
Södermanland;-22
Skåne;-16
Stockholm;-24
Uppsala;-24
Värmland;-22
Västerbotten;-32
Västernorrland;-30
Västmanland;-24
Västra Götaland;-20
